Brand,Price,Characteristics,Image
lenovo :  ,(39 893 сом),"Ноутбук Intel Core i3 1115G4, 8 ГБ, 256 Гб, 14"", 1920x1080, Intel UHD Graphics G1, noOS",https//images.wbstatic.net/c246x328/new/26340000/26344614-1.jpg
Acer :  ,(26 835 сом),"Ноутбук Intel Pentium Silver N5030, 4 ГБ, 256 Гб, 15.6"", 1920 x 1080, Intel UHD Graphics 605, Linux",https//images.wbstatic.net/c246x328/new/17820000/17823505-1.jpg
Acer :  ,(43 451 сом),"Ноутбук AMD Ryzen 5 3500U, 4 ГБ, 512 Гб, 15.6"", 1920x1080, AMD Radeon Vega 8, Windows",https//images.wbstatic.net/c246x328/new/23130000/23135177-1.jpg
lenovo :  ,(30 292 сом),"Ноутбук Celeron, 4 ГБ, 256 Гб, 15,6"", 1920 x 1080",https//images.wbstatic.net/c246x328/new/36090000/36096774-1.jpg
Asus :  ,(38 543 сом),"Ноутбук AMD Ryzen 3 3250U, 4 ГБ, 256 Гб, 15.6 "", 1920 x 1080, AMD Radeon Graphics, Windows 10 Home",https//images.wbstatic.net/c246x328/new/30490000/30494935-1.jpg
Acer :  ,(38 849 сом),"Ноутбук AMD Athlon Silver 3050U, 8 ГБ, 1 TB, 256 Гб, 15.6"", 1920 x 1080, AMD Radeon R3, DOS",https//images.wbstatic.net/c246x328/new/34930000/34938463-1.jpg
lenovo :  ,(33 234 сом),"Ноутбук AMD Athlon 300U, 8 GB, 256 Гб, 15,6"", 1920x1080 (Full HD), AMD Radeon Vega 3",https//images.wbstatic.net/c246x328/new/29610000/29612473-1.jpg
lenovo :  ,(46 630 сом),"Ноутбук Intel Core i3-1115G4, 8 GB, 512 Гб, 14"", 1920x1080 (Full HD), Intel UHD Graphics, Windows 10",https//images.wbstatic.net/c246x328/new/29610000/29612471-1.jpg
Asus :  ,(25 555 сом),"Ноутбук Intel Pentium N5030, 4 ГБ, 14"", 1920x1080, Intel UHD Graphics 600, DOS",https//images.wbstatic.net/c246x328/new/25920000/25925048-1.jpg
lenovo :  ,(31 217 сом),"Ноутбук AMD Athlon 300U, 4 ГБ, 128 Гб, 15.6'', 1920x1080, AMD Radeon Vega 3, DOS",https//images.wbstatic.net/c246x328/new/11130000/11132258-1.jpg
Honor :  ,(184 242 сом),"Ноутбук Intel Core i7 10750H, 16 ГБ, 512 Гб, 16.1"", 1920x1080, NVIDIA GeForce RTX 2060, Windows",https//images.wbstatic.net/c246x328/new/17280000/17282827-1.jpg
Honor :  ,(57 567 сом),"Ноутбук Intel Core i3 10110U, 8 ГБ, 256 Гб, 14"", 1920 x 1080, Intel UHD Graphics, Windows 10 Home 64",https//images.wbstatic.net/c246x328/new/29600000/29600233-1.jpg
Asus :  ,(33 902 сом),"Ноутбук Intel Pentium Gold 6805, 4 ГБ, 128 Гб, 15.6"", 1366 x 768, NVIDIA GeForce MX130, Windows 10 Home",https//images.wbstatic.net/c246x328/new/36010000/36012130-1.jpg
Honor :  ,(63 556 сом),"Ноутбук Intel Core i5-10210U, 8 ГБ, 512 Гб, 15"", 1920 x 1080, Intel UHD Graphics, Windows 10 Home 64",https//images.wbstatic.net/c246x328/new/29600000/29605541-1.jpg
Acer :  ,(45 745 сом),"Ноутбук Intel Core i3, 8 ГБ, 256 Гб, 15.6"", 1920 x 1080, GeForce MX330, Windows 10",https//images.wbstatic.net/c246x328/new/31200000/31207635-1.jpg
lenovo :  ,(37 357 сом),"Ноутбук Intel Core i3 1005G1, 4ГБ, 1000 Гб, 128 Гб, 15.6 "", 1920х1080, Intel UHD Graphics, noOS",https//images.wbstatic.net/c246x328/new/30400000/30403752-1.jpg
MSI :  ,(53 091 сом),"Ноутбук AMD Ryzen 5 4500U, 8 ГБ, 256 Гб, 14'', 1920 x 1080, AMD Radeon Graphics, DOS",https//images.wbstatic.net/c246x328/new/33010000/33018307-1.jpg
lenovo :  ,(28 444 сом),"Ноутбук Intel Celeron N4120, 4 ГБ, 1 TB, 15,6"", 1920 x 1080, UHD Graphics, DOS",https//images.wbstatic.net/c246x328/new/36090000/36096927-1.jpg
Huawei :  ,(73 344 сом),"Ноутбук Intel Core i5 10210U, 16 ГБ, 512 Гб, 15.6"", 1920x1080, Win10",https//images.wbstatic.net/c246x328/new/27830000/27837791-1.jpg
Acer :  ,(52 225 сом),"Ноутбук Intel Core i5 1035G1, 8, 15.6 "", 1920 x 1080, RAM",https//images.wbstatic.net/c246x328/new/36420000/36426223-1.jpg
Asus :  ,(33 302 сом),"Ноутбук Intel Pentium Silver N5030, 4, 512 Гб, 14"", 1920x1080, Intel UHD Graphics 605, DOS",https //static.wbstatic.net/i/blank.gif
Irbis :  ,(15 000 сом),"Ноутбук Z3735F, 2, 14"", 1366x768, Intel HD Graphics, Windows 10 Pro",https //static.wbstatic.net/i/blank.gif
Asus :  ,(33 410 сом),"Ноутбук Intel Pentium Silver N5030, 4 ГБ, 256 Гб, 15.6"", 1366 x 768, Intel UHD Graphics 605, Windows 10 Home",https //static.wbstatic.net/i/blank.gif
